numitems,bitsperitem,instance_id,objective,use_lower_bound,use_fast_lower_bound,use_set_of_seen_states,use_dynamic_programming,diff,runtime
10,16,0,minimize-largest-sum,False,False,False,False,919.0,0.005120099999999628
10,16,0,minimize-largest-sum,False,False,True,False,238.0,0.005171999999999954
10,16,0,minimize-largest-sum,False,True,False,False,118.0,0.0006077000000002108
10,16,0,minimize-largest-sum,False,True,True,False,26.0,0.0009864999999997792
10,16,0,minimize-largest-sum,True,False,False,False,30.0,0.0021724999999999106
10,16,0,minimize-largest-sum,True,False,True,False,82.0,0.0016348999999999947
10,16,0,minimize-largest-sum,True,True,False,False,94.0,0.001085900000000084
10,16,0,minimize-largest-sum,True,True,True,False,153.0,0.0016388999999996656
10,16,0,maximize-smallest-sum,False,False,False,False,284.0,0.004757199999999795
10,16,0,maximize-smallest-sum,False,False,True,False,117.0,0.004868799999999673
10,16,0,maximize-smallest-sum,False,True,False,False,286.0,0.0005478000000000982
10,16,0,maximize-smallest-sum,False,True,True,False,113.0,0.00048499999999984666
10,16,0,maximize-smallest-sum,True,False,False,False,527.0,0.0013100999999999807
10,16,0,maximize-smallest-sum,True,False,True,False,215.0,0.0008357999999999421
10,16,0,maximize-smallest-sum,True,True,False,False,237.0,0.0012137000000000953
10,16,0,maximize-smallest-sum,True,True,True,False,236.0,0.000773099999999971
10,16,1,minimize-largest-sum,False,False,False,False,59.0,0.0049768000000001145
10,16,1,minimize-largest-sum,False,False,True,False,38.0,0.00542139999999991
10,16,1,minimize-largest-sum,False,True,False,False,1436.0,0.0006913000000001723
10,16,1,minimize-largest-sum,False,True,True,False,215.0,0.0004461000000000048
10,16,1,minimize-largest-sum,True,False,False,False,266.0,0.0011847000000000385
10,16,1,minimize-largest-sum,True,False,True,False,669.0,0.001125899999999902
10,16,1,minimize-largest-sum,True,True,False,False,196.0,0.0008917999999997761
10,16,1,minimize-largest-sum,True,True,True,False,99.0,0.0009535999999998879
10,16,1,maximize-smallest-sum,False,False,False,False,325.0,0.004671000000000092
10,16,1,maximize-smallest-sum,False,False,True,False,73.0,0.00474679999999994
10,16,1,maximize-smallest-sum,False,True,False,False,2748.0,0.00047369999999968826
10,16,1,maximize-smallest-sum,False,True,True,False,842.0,0.0007532999999999568
10,16,1,maximize-smallest-sum,True,False,False,False,744.0,0.0017651999999999113
10,16,1,maximize-smallest-sum,True,False,True,False,325.0,0.0015902999999997114
10,16,1,maximize-smallest-sum,True,True,False,False,165.0,0.0006921000000001953
10,16,1,maximize-smallest-sum,True,True,True,False,401.0,0.001620000000000399
10,16,2,minimize-largest-sum,False,False,False,False,402.0,0.004774000000000278
10,16,2,minimize-largest-sum,False,False,True,False,13.0,0.004943099999999756
10,16,2,minimize-largest-sum,False,True,False,False,1365.0,0.0008140000000000924
10,16,2,minimize-largest-sum,False,True,True,False,1423.0,0.0014802000000000426
10,16,2,minimize-largest-sum,True,False,False,False,95.0,0.002491500000000091
10,16,2,minimize-largest-sum,True,False,True,False,66.0,0.0016255999999996718
10,16,2,minimize-largest-sum,True,True,False,False,359.0,0.000947500000000101
10,16,2,minimize-largest-sum,True,True,True,False,11.0,0.0015871999999998998
10,16,2,maximize-smallest-sum,False,False,False,False,309.0,0.005406400000000033
10,16,2,maximize-smallest-sum,False,False,True,False,124.0,0.007336599999999915
10,16,2,maximize-smallest-sum,False,True,False,False,21.0,0.0006823000000002466
10,16,2,maximize-smallest-sum,False,True,True,False,710.0,0.0007775000000003196
10,16,2,maximize-smallest-sum,True,False,False,False,1206.0,0.0014407999999996868
10,16,2,maximize-smallest-sum,True,False,True,False,588.0,0.002069699999999841
10,16,2,maximize-smallest-sum,True,True,False,False,25.0,0.001093099999999847
10,16,2,maximize-smallest-sum,True,True,True,False,39.0,0.0008477000000000068
10,16,3,minimize-largest-sum,False,False,False,False,73.0,0.004771299999999812
10,16,3,minimize-largest-sum,False,False,True,False,531.0,0.0048442999999998015
10,16,3,minimize-largest-sum,False,True,False,False,372.0,0.0007385000000001973
10,16,3,minimize-largest-sum,False,True,True,False,583.0,0.0009489000000000303
10,16,3,minimize-largest-sum,True,False,False,False,129.0,0.0012475999999996823
10,16,3,minimize-largest-sum,True,False,True,False,821.0,0.0016156000000000503
10,16,3,minimize-largest-sum,True,True,False,False,40.0,0.001278199999999785
10,16,3,minimize-largest-sum,True,True,True,False,116.0,0.0012782000000002292
10,16,3,maximize-smallest-sum,False,False,False,False,360.0,0.005027800000000138
10,16,3,maximize-smallest-sum,False,False,True,False,79.0,0.005364000000000146
10,16,3,maximize-smallest-sum,False,True,False,False,39.0,0.0005479999999997709
10,16,3,maximize-smallest-sum,False,True,True,False,187.0,0.0006528999999999563
10,16,3,maximize-smallest-sum,True,False,False,False,119.0,0.0010352000000000139
10,16,3,maximize-smallest-sum,True,False,True,False,74.0,0.0014967999999999648
10,16,3,maximize-smallest-sum,True,True,False,False,485.0,0.0012919000000000125
10,16,3,maximize-smallest-sum,True,True,True,False,249.0,0.0010124000000000244
10,16,4,minimize-largest-sum,False,False,False,False,300.0,0.004345900000000125
10,16,4,minimize-largest-sum,False,False,True,False,34.0,0.0050474999999998715
10,16,4,minimize-largest-sum,False,True,False,False,396.0,0.000561600000000162
10,16,4,minimize-largest-sum,False,True,True,False,2007.0,0.00041099999999971715
10,16,4,minimize-largest-sum,True,False,False,False,256.0,0.001439799999999991
10,16,4,minimize-largest-sum,True,False,True,False,4.0,0.001165900000000164
10,16,4,minimize-largest-sum,True,True,False,False,1385.0,0.0011347999999999914
10,16,4,minimize-largest-sum,True,True,True,False,343.0,0.0009030000000000982
10,16,4,maximize-smallest-sum,False,False,False,False,171.0,0.004414499999999766
10,16,4,maximize-smallest-sum,False,False,True,False,171.0,0.005276399999999626
10,16,4,maximize-smallest-sum,False,True,False,False,46.0,0.0012528000000000539
10,16,4,maximize-smallest-sum,False,True,True,False,19.0,0.001493899999999826
10,16,4,maximize-smallest-sum,True,False,False,False,280.0,0.003306800000000276
10,16,4,maximize-smallest-sum,True,False,True,False,104.0,0.004284699999999919
10,16,4,maximize-smallest-sum,True,True,False,False,68.0,0.0027124999999998956
10,16,4,maximize-smallest-sum,True,True,True,False,613.0,0.0023547999999999902
10,16,5,minimize-largest-sum,False,False,False,False,38.0,0.008081900000000086
10,16,5,minimize-largest-sum,False,False,True,False,80.0,0.0050736000000002335
10,16,5,minimize-largest-sum,False,True,False,False,263.0,0.0003229999999998512
10,16,5,minimize-largest-sum,False,True,True,False,94.0,0.0005880999999998693
10,16,5,minimize-largest-sum,True,False,False,False,298.0,0.0011548000000001224
10,16,5,minimize-largest-sum,True,False,True,False,61.0,0.0011750000000003702
10,16,5,minimize-largest-sum,True,True,False,False,597.0,0.001033899999999921
10,16,5,minimize-largest-sum,True,True,True,False,30.0,0.0007665999999999507
10,16,5,maximize-smallest-sum,False,False,False,False,33.0,0.004909500000000122
10,16,5,maximize-smallest-sum,False,False,True,False,815.0,0.0052114999999997025
10,16,5,maximize-smallest-sum,False,True,False,False,1141.0,0.0005120999999999043
10,16,5,maximize-smallest-sum,False,True,True,False,821.0,0.0010015000000000995
10,16,5,maximize-smallest-sum,True,False,False,False,625.0,0.0011839999999998518
10,16,5,maximize-smallest-sum,True,False,True,False,25.0,0.0013467999999998703
10,16,5,maximize-smallest-sum,True,True,False,False,4.0,0.0010675999999998353
10,16,5,maximize-smallest-sum,True,True,True,False,371.0,0.0011950999999998935
10,16,6,minimize-largest-sum,False,False,False,False,220.0,0.004363600000000023
10,16,6,minimize-largest-sum,False,False,True,False,677.0,0.004699500000000079
10,16,6,minimize-largest-sum,False,True,False,False,6.0,0.0006376999999999633
10,16,6,minimize-largest-sum,False,True,True,False,114.0,0.00037429999999982755
10,16,6,minimize-largest-sum,True,False,False,False,232.0,0.001162700000000072
10,16,6,minimize-largest-sum,True,False,True,False,317.0,0.0006616999999997653
10,16,6,minimize-largest-sum,True,True,False,False,360.0,0.000811200000000234
10,16,6,minimize-largest-sum,True,True,True,False,91.0,0.0014737000000000222
10,16,6,maximize-smallest-sum,False,False,False,False,595.0,0.004444400000000126
10,16,6,maximize-smallest-sum,False,False,True,False,252.0,0.004726599999999692
10,16,6,maximize-smallest-sum,False,True,False,False,10.0,0.00047599999999992093
10,16,6,maximize-smallest-sum,False,True,True,False,347.0,0.0006471999999999589
10,16,6,maximize-smallest-sum,True,False,False,False,54.0,0.0018367999999999718
10,16,6,maximize-smallest-sum,True,False,True,False,53.0,0.001988099999999715
10,16,6,maximize-smallest-sum,True,True,False,False,230.0,0.0011993000000001253
10,16,6,maximize-smallest-sum,True,True,True,False,51.0,0.0010169000000002093
10,16,7,minimize-largest-sum,False,False,False,False,148.0,0.004781200000000041
10,16,7,minimize-largest-sum,False,False,True,False,187.0,0.004746899999999776
10,16,7,minimize-largest-sum,False,True,False,False,2.0,0.000313600000000136
10,16,7,minimize-largest-sum,False,True,True,False,629.0,0.0005484000000004485
10,16,7,minimize-largest-sum,True,False,False,False,407.0,0.001082999999999501
10,16,7,minimize-largest-sum,True,False,True,False,323.0,0.0013917000000001067
10,16,7,minimize-largest-sum,True,True,False,False,165.0,0.0009959000000003826
10,16,7,minimize-largest-sum,True,True,True,False,1189.0,0.0019423999999998998
10,16,7,maximize-smallest-sum,False,False,False,False,824.0,0.004463100000000608
10,16,7,maximize-smallest-sum,False,False,True,False,231.0,0.004790299999999803
10,16,7,maximize-smallest-sum,False,True,False,False,94.0,0.0017178999999991618
10,16,7,maximize-smallest-sum,False,True,True,False,34.0,0.000409099999999718
10,16,7,maximize-smallest-sum,True,False,False,False,280.0,0.0007865000000002453
10,16,7,maximize-smallest-sum,True,False,True,False,244.0,0.00178729999999927
10,16,7,maximize-smallest-sum,True,True,False,False,141.0,0.001753100000000174
10,16,7,maximize-smallest-sum,True,True,True,False,270.0,0.0010501000000004979
10,16,8,minimize-largest-sum,False,False,False,False,240.0,0.004838900000000201
10,16,8,minimize-largest-sum,False,False,True,False,18.0,0.004866799999999394
10,16,8,minimize-largest-sum,False,True,False,False,336.0,0.00037650000000066797
10,16,8,minimize-largest-sum,False,True,True,False,163.0,0.0004983999999996769
10,16,8,minimize-largest-sum,True,False,False,False,21.0,0.0017034000000002436
10,16,8,minimize-largest-sum,True,False,True,False,608.0,0.0014651000000007741
10,16,8,minimize-largest-sum,True,True,False,False,365.0,0.0009166000000000452
10,16,8,minimize-largest-sum,True,True,True,False,1341.0,0.00033270000000040767
10,16,8,maximize-smallest-sum,False,False,False,False,102.0,0.0043628
10,16,8,maximize-smallest-sum,False,False,True,False,121.0,0.006042399999999226
10,16,8,maximize-smallest-sum,False,True,False,False,927.0,0.00035670000000020963
10,16,8,maximize-smallest-sum,False,True,True,False,22.0,0.0007934999999994474
10,16,8,maximize-smallest-sum,True,False,False,False,1214.0,0.0021039999999992176
10,16,8,maximize-smallest-sum,True,False,True,False,1559.0,0.0015648999999999802
10,16,8,maximize-smallest-sum,True,True,False,False,108.0,0.000817099999999904
10,16,8,maximize-smallest-sum,True,True,True,False,18.0,0.0009461000000001718
10,16,9,minimize-largest-sum,False,False,False,False,158.0,0.004455800000000565
10,16,9,minimize-largest-sum,False,False,True,False,73.0,0.0051973999999992415
10,16,9,minimize-largest-sum,False,True,False,False,247.0,0.0004900000000001015
10,16,9,minimize-largest-sum,False,True,True,False,318.0,0.0006764000000005765
10,16,9,minimize-largest-sum,True,False,False,False,326.0,0.0008891000000001981
10,16,9,minimize-largest-sum,True,False,True,False,53.0,0.0014794000000000196
10,16,9,minimize-largest-sum,True,True,False,False,292.0,0.0009148999999997187
10,16,9,minimize-largest-sum,True,True,True,False,1243.0,0.001056300000000121
10,16,9,maximize-smallest-sum,False,False,False,False,523.0,0.006003299999999712
10,16,9,maximize-smallest-sum,False,False,True,False,751.0,0.0055109999999993775
10,16,9,maximize-smallest-sum,False,True,False,False,354.0,0.0013030999999994464
10,16,9,maximize-smallest-sum,False,True,True,False,340.0,0.0003812999999999178
10,16,9,maximize-smallest-sum,True,False,False,False,379.0,0.0021209000000004252
10,16,9,maximize-smallest-sum,True,False,True,False,14.0,0.0012487999999999388
10,16,9,maximize-smallest-sum,True,True,False,False,1481.0,0.0009709999999998331
10,16,9,maximize-smallest-sum,True,True,True,False,136.0,0.001053900000000496
10,32,0,minimize-largest-sum,False,False,False,False,17807690.0,0.004932700000000345
10,32,0,minimize-largest-sum,False,False,True,False,120764.0,0.005106399999999844
10,32,0,minimize-largest-sum,False,True,False,False,1420435.0,0.0005071000000000936
10,32,0,minimize-largest-sum,False,True,True,False,19785192.0,0.0004694000000000642
10,32,0,minimize-largest-sum,True,False,False,False,27592069.0,0.0012297999999999476
10,32,0,minimize-largest-sum,True,False,True,False,8185123.0,0.001142699999999941
10,32,0,minimize-largest-sum,True,True,False,False,221681.0,0.000765099999999741
10,32,0,minimize-largest-sum,True,True,True,False,15391681.0,0.0010741000000002998
10,32,0,maximize-smallest-sum,False,False,False,False,33441876.0,0.004300599999999655
10,32,0,maximize-smallest-sum,False,False,True,False,6396063.0,0.004774600000000184
10,32,0,maximize-smallest-sum,False,True,False,False,4165978.0,0.0007473999999998426
10,32,0,maximize-smallest-sum,False,True,True,False,53702385.0,0.0006752999999992682
10,32,0,maximize-smallest-sum,True,False,False,False,18436189.0,0.0014777999999999736
10,32,0,maximize-smallest-sum,True,False,True,False,9300608.0,0.0009705999999995996
10,32,0,maximize-smallest-sum,True,True,False,False,61652319.0,0.0005039000000000016
10,32,0,maximize-smallest-sum,True,True,True,False,29535621.0,0.001409100000000052
10,32,1,minimize-largest-sum,False,False,False,False,7113852.0,0.004531899999999922
10,32,1,minimize-largest-sum,False,False,True,False,907446.0,0.0050144000000003075
10,32,1,minimize-largest-sum,False,True,False,False,29232846.0,0.0005397000000000318
10,32,1,minimize-largest-sum,False,True,True,False,31325155.0,0.0005721999999996896
10,32,1,minimize-largest-sum,True,False,False,False,14037621.0,0.0006687000000002996
10,32,1,minimize-largest-sum,True,False,True,False,47374813.0,0.0012646999999992303
10,32,1,minimize-largest-sum,True,True,False,False,653257.0,0.0006931000000003351
10,32,1,minimize-largest-sum,True,True,True,False,14334782.0,0.0009958000000001022
10,32,1,maximize-smallest-sum,False,False,False,False,17722006.0,0.004306299999999652
10,32,1,maximize-smallest-sum,False,False,True,False,4335786.0,0.00483269999999969
10,32,1,maximize-smallest-sum,False,True,False,False,26963498.0,0.0015470999999998014
10,32,1,maximize-smallest-sum,False,True,True,False,22845513.0,0.000704299999999769
10,32,1,maximize-smallest-sum,True,False,False,False,21571620.0,0.0012690000000006307
10,32,1,maximize-smallest-sum,True,False,True,False,608968.0,0.0015470000000004092
10,32,1,maximize-smallest-sum,True,True,False,False,40412261.0,0.0009103000000001416
10,32,1,maximize-smallest-sum,True,True,True,False,26995098.0,0.000929900000000039
10,32,2,minimize-largest-sum,False,False,False,False,18582588.0,0.004857000000000333
10,32,2,minimize-largest-sum,False,False,True,False,1820858.0,0.005858600000000713
10,32,2,minimize-largest-sum,False,True,False,False,8160594.0,0.0007334999999999425
10,32,2,minimize-largest-sum,False,True,True,False,2041522.0,0.0007669999999997401
10,32,2,minimize-largest-sum,True,False,False,False,22521.0,0.0009379000000002691
10,32,2,minimize-largest-sum,True,False,True,False,104602481.0,0.0012292000000000414
10,32,2,minimize-largest-sum,True,True,False,False,491695.0,0.0011827999999995953
10,32,2,minimize-largest-sum,True,True,True,False,4522564.0,0.001836599999999855
10,32,2,maximize-smallest-sum,False,False,False,False,55824544.0,0.006214599999999848
10,32,2,maximize-smallest-sum,False,False,True,False,1709419.0,0.006014600000000314
10,32,2,maximize-smallest-sum,False,True,False,False,5870307.0,0.00036780000000025126
10,32,2,maximize-smallest-sum,False,True,True,False,6932525.0,0.0004683000000005322
10,32,2,maximize-smallest-sum,True,False,False,False,11288378.0,0.0014945000000006203
10,32,2,maximize-smallest-sum,True,False,True,False,26618077.0,0.0014678999999997444
10,32,2,maximize-smallest-sum,True,True,False,False,4289119.0,0.0012208999999998582
10,32,2,maximize-smallest-sum,True,True,True,False,19951680.0,0.000788299999999964
10,32,3,minimize-largest-sum,False,False,False,False,22287902.0,0.004324500000000064
10,32,3,minimize-largest-sum,False,False,True,False,2982225.0,0.004754900000000006
10,32,3,minimize-largest-sum,False,True,False,False,15235359.0,0.000773099999999971
10,32,3,minimize-largest-sum,False,True,True,False,37221289.0,0.00043799999999993844
10,32,3,minimize-largest-sum,True,False,False,False,16422563.0,0.0015465999999992874
10,32,3,minimize-largest-sum,True,False,True,False,29354540.0,0.002033400000000185
